Episode	Score	Epsilon
290	150.0	1.0000
291	220.0	1.0000
292	260.0	1.0000
293	160.0	1.0000
294	270.0	1.0000
295	240.0	1.0000
296	260.0	1.0000
297	130.0	1.0000
298	360.0	1.0000
299	170.0	1.0000
300	270.0	1.0000
301	260.0	1.0000
302	290.0	1.0000
303	170.0	1.0000
304	100.0	1.0000
305	170.0	1.0000
306	250.0	1.0000
307	240.0	1.0000
308	260.0	1.0000
309	150.0	1.0000
310	180.0	1.0000
311	210.0	1.0000
312	320.0	1.0000
313	180.0	1.0000
314	150.0	1.0000
315	210.0	1.0000
316	400.0	1.0000
317	280.0	1.0000
318	290.0	1.0000
319	230.0	1.0000
320	210.0	1.0000
321	280.0	1.0000
322	240.0	1.0000
323	300.0	1.0000
324	280.0	1.0000
325	310.0	1.0000
326	130.0	1.0000
327	210.0	1.0000
328	300.0	1.0000
329	270.0	1.0000
330	210.0	1.0000
331	240.0	1.0000
332	190.0	1.0000
333	130.0	1.0000
334	120.0	1.0000
335	200.0	1.0000
336	680.0	1.0000
337	270.0	1.0000
338	110.0	1.0000
339	140.0	1.0000
340	270.0	1.0000
341	260.0	1.0000
342	190.0	1.0000
343	210.0	1.0000
344	220.0	1.0000
345	170.0	1.0000
346	240.0	1.0000
347	390.0	1.0000
348	210.0	1.0000
349	260.0	1.0000
350	270.0	1.0000
351	410.0	1.0000
352	170.0	1.0000
353	180.0	1.0000
354	210.0	1.0000
355	150.0	1.0000
356	200.0	1.0000
357	140.0	1.0000
358	290.0	1.0000
359	290.0	1.0000
360	270.0	1.0000
361	660.0	1.0000
362	190.0	1.0000
363	230.0	1.0000
364	310.0	1.0000
365	220.0	1.0000
366	420.0	1.0000
367	370.0	1.0000
368	300.0	1.0000
369	2000.0	1.0000
370	220.0	1.0000
371	200.0	1.0000
372	390.0	1.0000
373	300.0	1.0000
374	370.0	1.0000
375	390.0	1.0000
376	210.0	1.0000
377	220.0	1.0000
378	190.0	1.0000
379	330.0	1.0000
380	310.0	1.0000
381	260.0	1.0000
382	310.0	1.0000
383	410.0	1.0000
384	260.0	1.0000
385	220.0	1.0000
386	190.0	1.0000
387	240.0	1.0000
388	280.0	1.0000
389	710.0	1.0000
390	200.0	1.0000
391	180.0	1.0000
392	210.0	1.0000
393	230.0	1.0000
394	210.0	1.0000
395	260.0	1.0000
396	190.0	1.0000
397	220.0	1.0000
398	320.0	1.0000
399	380.0	1.0000
400	350.0	1.0000
401	190.0	1.0000
402	500.0	1.0000
403	410.0	1.0000
404	380.0	1.0000
405	270.0	1.0000
406	230.0	1.0000
407	210.0	1.0000
408	250.0	1.0000
409	270.0	1.0000
410	110.0	1.0000
411	310.0	1.0000
412	240.0	1.0000
413	250.0	1.0000
414	140.0	1.0000
415	210.0	1.0000
416	170.0	1.0000
417	250.0	1.0000
418	290.0	1.0000
419	260.0	1.0000
420	280.0	1.0000
421	200.0	1.0000
