Episode	Score	Epsilon
313	690.0	0.05
314	800.0	0.05
315	800.0	0.05
316	960.0	0.05
317	520.0	0.05
318	880.0	0.05
319	450.0	0.05
320	510.0	0.05
321	360.0	0.05
322	620.0	0.05
323	620.0	0.05
324	330.0	0.05
325	1340.0	0.05
326	460.0	0.05
327	410.0	0.05
328	530.0	0.05
329	1090.0	0.05
330	800.0	0.05
331	440.0	0.05
332	530.0	0.05
333	390.0	0.05
334	860.0	0.05
335	390.0	0.05
336	660.0	0.05
337	860.0	0.05
338	1040.0	0.05
339	620.0	0.05
340	800.0	0.05
341	800.0	0.05
342	420.0	0.05
343	1240.0	0.05
344	740.0	0.05
345	720.0	0.05
346	1680.0	0.05
347	740.0	0.05
348	500.0	0.05
349	1500.0	0.05
350	750.0	0.05
351	520.0	0.05
352	930.0	0.05
353	370.0	0.05
354	540.0	0.05
355	550.0	0.05
356	940.0	0.05
357	680.0	0.05
358	460.0	0.05
359	760.0	0.05
360	490.0	0.05
361	330.0	0.05
362	440.0	0.05
363	2020.0	0.05
364	950.0	0.05
365	410.0	0.05
366	750.0	0.05
367	600.0	0.05
368	860.0	0.05
369	800.0	0.05
370	820.0	0.05
371	330.0	0.05
372	410.0	0.05
373	680.0	0.05
374	840.0	0.05
375	680.0	0.05
376	760.0	0.05
377	1020.0	0.05
378	580.0	0.05
379	320.0	0.05
380	660.0	0.05
381	510.0	0.05
382	1260.0	0.05
383	1490.0	0.05
384	570.0	0.05
385	1220.0	0.05
386	1050.0	0.05
387	1130.0	0.05
388	1310.0	0.05
389	2030.0	0.05
390	1140.0	0.05
391	930.0	0.05
392	670.0	0.05
393	380.0	0.05
394	1100.0	0.05
395	280.0	0.05
396	1490.0	0.05
397	480.0	0.05
398	810.0	0.05
399	840.0	0.05
400	1250.0	0.05
401	900.0	0.05
402	800.0	0.05
403	950.0	0.05
404	590.0	0.05
405	870.0	0.05
406	560.0	0.05
407	480.0	0.05
408	1250.0	0.05
409	210.0	0.05
410	830.0	0.05
411	470.0	0.05
412	790.0	0.05
413	410.0	0.05
414	540.0	0.05
415	580.0	0.05
416	240.0	0.05
417	500.0	0.05
418	2130.0	0.05
419	470.0	0.05
420	500.0	0.05
421	840.0	0.05
422	440.0	0.05
423	520.0	0.05
424	830.0	0.05
425	1060.0	0.05
426	630.0	0.05
427	1200.0	0.05
428	1080.0	0.05
429	460.0	0.05
430	260.0	0.05
431	290.0	0.05
432	550.0	0.05
433	450.0	0.05
434	800.0	0.05
435	370.0	0.05
436	510.0	0.05
437	520.0	0.05
438	760.0	0.05
439	610.0	0.05
440	1060.0	0.05
441	600.0	0.05
442	510.0	0.05
443	390.0	0.05
444	860.0	0.05
445	660.0	0.05
446	460.0	0.05
447	800.0	0.05
448	980.0	0.05
449	710.0	0.05
450	470.0	0.05
451	430.0	0.05
452	570.0	0.05
453	560.0	0.05
454	260.0	0.05
455	470.0	0.05
456	350.0	0.05
457	440.0	0.05
458	930.0	0.05
459	420.0	0.05
460	550.0	0.05
461	1030.0	0.05
462	1520.0	0.05
463	940.0	0.05
464	1090.0	0.05
465	1150.0	0.05
466	380.0	0.05
467	1540.0	0.05
468	680.0	0.05
469	820.0	0.05
470	400.0	0.05
471	1080.0	0.05
472	340.0	0.05
473	960.0	0.05
474	360.0	0.05
475	1050.0	0.05
476	760.0	0.05
477	540.0	0.05
478	1030.0	0.05
479	1040.0	0.05
480	760.0	0.05
481	450.0	0.05
482	750.0	0.05
483	750.0	0.05
484	250.0	0.05
485	360.0	0.05
486	380.0	0.05
487	930.0	0.05
488	1180.0	0.05
489	720.0	0.05
490	1310.0	0.05
491	640.0	0.05
492	1440.0	0.05
493	640.0	0.05
494	170.0	0.05
495	380.0	0.05
496	1100.0	0.05
497	1030.0	0.05
